Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Sweden,SWE,1839,43968,0.043968,0,0,0,0,0,0.014192
United Kingdom,GBR,1839,77779392,77.779392,0,0,0,0,0,2.936955
USA,USA,1839,5517984,5.517984,0,0,0,0,0,0.324414
Austria,AUT,1840,1168816,1.168816,0,0,0,0,0,0.314536
Belgium,BEL,1840,7727376,7.727376,0,0,0,0,0,1.893965
France,FRA,1840,11798080,11.798080,0,0,0,0,0,0.338054
Germany,DEU,1840,9174656,9.174656,0,0,0,0,0,0.294759
Norway,NOR,1840,43968,0.043968,0,0,0,0,0,0.035426
Spain,ESP,1840,36640,0.036640,0,0,0,0,0,0.002629
Sweden,SWE,1840,40304,0.040304,0,0,0,0,0,0.012906
United Kingdom,GBR,1840,80959744,80.959744,0,0,0,0,0,3.027098
Austria,AUT,1841,1319040,1.319040,0,0,0,0,0,0.352779
Belgium,BEL,1841,7390288,7.390288,0,0,0,0,0,1.795939
France,FRA,1841,13820608,13.820608,0,0,0,0,0,0.394210
Germany,DEU,1841,9548384,9.548384,0,0,0,0,0,0.303364
Norway,NOR,1841,58624,0.058624,0,0,0,0,0,0.046735
Spain,ESP,1841,102592,0.102592,0,0,0,0,0,0.007312
Sweden,SWE,1841,40304,0.040304,0,0,0,0,0,0.012771
United Kingdom,GBR,1841,81839104,81.839104,0,0,0,0,0,3.030629
Austria,AUT,1842,1458272,1.458272,0,0,0,0,0,0.387632
Belgium,BEL,1842,7679744,7.679744,0,0,0,0,0,1.850095
France,FRA,1842,14527760,14.527760,0,0,0,0,0,0.412510
Germany,DEU,1842,10882080,10.882080,0,0,0,0,0,0.342344
Norway,NOR,1842,73280,0.073280,0,0,0,0,0,0.057674
Spain,ESP,1842,142896,0.142896,0,0,0,0,0,0.010118
Sweden,SWE,1842,80608,0.080608,0,0,0,0,0,0.025269
United Kingdom,GBR,1842,85371200,85.371200,0,0,0,0,0,3.129787
USA,USA,1842,6917632,6.917632,0,0,0,0,0,0.370572
Austria,AUT,1843,1267744,1.267744,0,0,0,0,0,0.334939
Belgium,BEL,1843,7111824,7.111824,0,0,0,0,0,1.698549
Denmark,DNK,1843,135568,0.135568,0,0,0,0,0,0.097391
France,FRA,1843,14549744,14.549744,0,0,0,0,0,0.411265
Germany,DEU,1843,10299504,10.299504,0,0,0,0,0,0.320997
Norway,NOR,1843,62288,0.062288,0,0,0,0,0,0.048428
Spain,ESP,1843,172208,0.172208,0,0,0,0,0,0.012113
Sweden,SWE,1843,58624,0.058624,0,0,0,0,0,0.018201
United Kingdom,GBR,1843,89093824,89.093824,0,0,0,0,0,3.238480
USA,USA,1843,7764016,7.764016,0,0,0,0,0,0.402722
Austria,AUT,1844,1593840,1.593840,0,0,0,0,0,0.418550
Belgium,BEL,1844,7800656,7.800656,0,0,0,0,0,1.847184
Denmark,DNK,1844,157552,0.157552,0,0,0,0,0,0.111423
France,FRA,1844,15260560,15.260560,0,0,0,0,0,0.429403
Germany,DEU,1844,10882080,10.882080,0,0,0,0,0,0.335929
Norway,NOR,1844,65952,0.065952,0,0,0,0,0,0.050663
Spain,ESP,1844,201520,0.201520,0,0,0,0,0,0.014080
Sweden,SWE,1844,98928,0.098928,0,0,0,0,0,0.030383
United Kingdom,GBR,1844,93472304,93.472304,0,0,0,0,0,3.364128
Austria,AUT,1845,1799024,1.799024,0,0,0,0,0,0.469596
Belgium,BEL,1845,8218352,8.218352,0,0,0,0,0,1.929644
Denmark,DNK,1845,208848,0.208848,0,0,0,0,0,0.146048
France,FRA,1845,17836352,17.836352,0,0,0,0,0,0.499618
Germany,DEU,1845,12611488,12.611488,0,0,0,0,0,0.385166
Norway,NOR,1845,98928,0.098928,0,0,0,0,0,0.074992
Spain,ESP,1845,274800,0.274800,0,0,0,0,0,0.019074
Sweden,SWE,1845,87936,0.087936,0,0,0,0,0,0.026680
United Kingdom,GBR,1845,99986896,99.986896,0,0,0,0,0,3.565866
USA,USA,1845,11204512,11.204512,0,0,0,0,0,0.546488
Austria,AUT,1846,2114128,2.114128,0,0,0,0,0,0.548412
Belgium,BEL,1846,8965808,8.965808,0,0,0,0,0,2.087013
Denmark,DNK,1846,227168,0.227168,0,0,0,0,0,0.157319
France,FRA,1846,18528848,18.528848,0,0,0,0,0,0.517147
Germany,DEU,1846,13186736,13.186736,0,0,0,0,0,0.398885
Netherlands,NLD,1846,2868912,2.868912,0,0,0,0,0,0.934804
Norway,NOR,1846,98928,0.098928,0,0,0,0,0,0.074008
Spain,ESP,1846,282128,0.282128,0,0,0,0,0,0.019453
Sweden,SWE,1846,80608,0.080608,0,0,0,0,0,0.024207
United Kingdom,GBR,1846,95692688,95.692688,0,0,0,0,0,3.384716
Austria,AUT,1847,2081152,2.081152,0,0,0,0,0,0.536656
Belgium,BEL,1847,9317552,9.317552,0,0,0,0,0,2.150370
Denmark,DNK,1847,172208,0.172208,0,0,0,0,0,0.118275
France,FRA,1847,20840832,20.840832,0,0,0,0,0,0.579572
Germany,DEU,1847,13838928,13.838928,0,0,0,0,0,0.416446
Netherlands,NLD,1847,3869184,3.869184,0,0,0,0,0,1.259910
Norway,NOR,1847,102592,0.102592,0,0,0,0,0,0.075919
Spain,ESP,1847,260144,0.260144,0,0,0,0,0,0.017818
Sweden,SWE,1847,80608,0.080608,0,0,0,0,0,0.024048
United Kingdom,GBR,1847,103548304,103.548304,0,0,0,0,0,3.682634
Austria,AUT,1848,2333968,2.333968,0,0,0,0,0,0.598147
