Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
China,CHN,1936,75477252,74.539493,0.509296,0,0.428463,0,0,0.148589
China,CHN,1939,74426991,73.023770,1.179808,0,0.223413,0,0,0.144225
Germany,DEU,1868,74368208,74.148368,0.219840,0,0,0,0,1.924793
Japan,JPN,1920,74280272,73.250688,0.959968,0.069616,0,0,0,1.330758
China,CHN,1935,72645968,72.057496,0.432379,0,0.156093,0,0,0.143770
India,IND,1954,72413709,60.592102,9.541056,0,2.280551,0,0,0.185804
Germany,DEU,1874,71594560,71.114576,0.479984,0,0,0,0,1.769952
Japan,JPN,1918,71543264,70.440400,1.055232,0.047632,0,0,0,1.303488
Japan,JPN,1922,71429680,70.495408,0.875651,0.058621,0,0,0,1.248574
China,CHN,1937,70968653,69.937378,0.593604,0,0.437671,0,0,0.138980
Japan,JPN,1947,70032368,68.795264,0.556928,0.069616,0.610560,0,0,0.896483
Germany,DEU,1867,69154336,68.967472,0.186864,0,0,0,0,1.799020
India,IND,1953,68704906,59.067189,7.679744,0,1.957973,0,0,0.180220
Japan,JPN,1917,67483552,66.204747,1.234835,0.043970,0,0,0,1.239663
India,IND,1952,67426227,58.030006,7.562119,0,1.834102,0,0,0.180769
Japan,JPN,1921,66809376,65.834752,0.916000,0.058624,0,0,0,1.182676
India,IND,1951,64022191,54.512339,7.851952,0,1.657901,0,0,0.175441
Germany,DEU,1865,63467808,63.431168,0.036640,0,0,0,0,1.672186
Germany,DEU,1866,62907216,62.804624,0.102592,0,0,0,0,1.647088
China,CHN,1934,62382628,62.002565,0.282128,0,0.097934,0,0,0.124110
China,CHN,1949,62081099,61.443642,0.362736,0,0.274720,0,0,0.114132
China,CHN,1938,61365519,60.520945,0.835392,0,0.009181,0,0,0.119543
India,IND,1950,61102632,52.559786,7.188768,0,1.354077,0,0,0.171146
Japan,JPN,1916,58598352,57.290304,1.278736,0.029312,0,0,0,1.088885
Japan,JPN,1914,58015776,56.876344,1.139432,0,0,0,0,1.107256
Germany,DEU,1864,56641776,56.641776,0,0,0,0,0,1.506350
India,IND,1949,56187913,54.323382,0.776768,0,1.087763,0,0,0.158276
China,CHN,1945,55892207,55.335276,0.538569,0,0.018361,0,0,0.104941
Japan,JPN,1913,54315136,53.476080,0.839056,0,0,0,0,1.051152
China,CHN,1933,54111180,53.730504,0.267449,0,0.113227,0,0,0.108222
India,IND,1941,53581169,51.310020,1.187136,0,1.084012,0,0,0.136791
India,IND,1942,53529607,51.253665,1.143168,0,1.132774,0,0,0.135073
India,IND,1948,53204148,51.628263,0.769440,0,0.806445,0,0,0.152012
India,IND,1947,53180347,51.667959,0.762160,0,0.750228,0,0,0.153700
India,IND,1945,52874104,50.792876,0.970960,0,1.110268,0,0,0.128836
Japan,JPN,1915,52842208,51.578128,1.264080,0,0,0,0,0.994696
Japan,JPN,1946,52706560,51.592784,0.589904,0.065952,0.457920,0,0,0.682736
India,IND,1940,52309595,51.177419,1.132176,0,0,0,0,0.135237
India,IND,1946,52225065,50.322142,0.897680,0,1.005243,0,0,0.125783
China,CHN,1931,51904658,51.619859,0.186864,0,0.097934,0,0,0.105360
India,IND,1938,50379724,49.357468,1.022256,0,0,0,0,0.133953
China,CHN,1932,50269152,49.973404,0.216176,0,0.079572,0,0,0.101286
China,CHN,1930,49558455,49.331117,0.153888,0,0.073451,0,0,0.101347
Germany,DEU,1863,49383392,49.383392,0,0,0,0,0,1.328082
India,IND,1939,49312291,48.359587,0.952704,0,0,0,0,0.129293
Japan,JPN,1912,49280800,48.562709,0.718091,0,0,0,0,0.967409
China,CHN,1924,48846085,48.846085,0,0,0,0,0,0.102033
China,CHN,1929,48281827,48.194324,0.010992,0,0.076511,0,0,0.099086
India,IND,1944,47696050,45.498637,1.139584,0,1.057830,0,0,0.117594
China,CHN,1928,47591441,47.540668,0.010991,0,0.039782,0,0,0.098015
India,IND,1943,46644486,44.427878,1.121264,0,1.095343,0,0,0.116349
China,CHN,1923,46517555,46.517555,0,0,0,0,0,0.097514
China,CHN,1925,45954842,45.954842,0,0,0,0,0,0.095655
China,CHN,1927,45808577,45.797586,0.010991,0,0,0,0,0.094678
Germany,DEU,1862,45539856,45.539856,0,0,0,0,0,1.237900
India,IND,1937,45067341,43.599263,0.886688,0,0.581391,0,0,0.121508
Japan,JPN,1911,44209824,43.352377,0.857447,0,0,0,0,0.880411
China,CHN,1926,43660165,43.652837,0.007328,0,0,0,0,0.090557
India,IND,1919,42974809,39.402687,3.572122,0,0,0,0,0.140763
India,IND,1930,42399551,41.451124,0.655856,0,0.292571,0,0,0.126039
India,IND,1927,41883842,38.454338,3.429504,0,0,0,0,0.128321
China,CHN,1947,41836135,41.500510,0.161198,0,0.174427,0,0,0.077727
India,IND,1929,41707931,40.781488,0.633872,0,0.292571,0,0,0.125211
India,IND,1935,41393253,40.082017,0.857376,0,0.453860,0,0,0.114790
Germany,DEU,1861,41329920,41.329920,0,0,0,0,0,1.134347
India,IND,1936,40684530,39.375916,0.809744,0,0.498871,0,0,0.111251
India,IND,1924,40628000,36.879420,3.748581,0,0,0,0,0.128285
China,CHN,1920,40278458,40.278458,0,0,0,0,0,0.085336
India,IND,1925,40084974,36.399298,3.685677,0,0,0,0,0.125305
India,IND,1928,40073010,39.256575,0.527616,0,0.288820,0,0,0.121544
China,CHN,1922,39971524,39.971524,0,0,0,0,0,0.084088
India,IND,1926,39942630,36.568086,3.374544,0,0,0,0,0.123585
India,IND,1934,39611081,38.411242,0.809744,0,0.390094,0,0,0.111392
Japan,JPN,1910,39384336,38.596576,0.787760,0,0,0,0,0.795354
India,IND,1918,39359359,36.087407,3.271952,0,0,0,0,0.129005
India,IND,1931,38851074,37.814537,0.736464,0,0.300073,0,0,0.113933
China,CHN,1921,38762734,38.762734,0,0,0,0,0,0.081834
China,CHN,1948,38400105,38.093921,0.223538,0,0.082645,0,0,0.070969
Japan,JPN,1909,38255824,36.903808,1.352016,0,0,0,0,0.782824
China,CHN,1919,37997294,37.997294,0,0,0,0,0,0.081390
India,IND,1923,37971935,34.230991,3.740944,0,0,0,0,0.121084
Japan,JPN,1908,37632944,36.116196,1.516748,0,0,0,0,0.779796
India,IND,1921,37505563,33.614395,3.891168,0,0,0,0,0.122049
India,IND,1922,36903416,33.104192,3.799223,0,0,0,0,0.118890
Germany,DEU,1860,36394512,36.394512,0,0,0,0,0,1.009585
India,IND,1932,36129522,35.092898,0.732800,0,0.303823,0,0,0.104481
China,CHN,1946,36107047,35.805179,0.216176,0,0.085693,0,0,0.067437
Germany,DEU,1858,35610416,35.610416,0,0,0,0,0,1.009423
India,IND,1933,35467387,34.459728,0.688832,0,0.318827,0,0,0.101133
Japan,JPN,1907,35071808,33.598880,1.472928,0,0,0,0,0.735397
India,IND,1917,35019811,31.714883,3.304928,0,0,0,0,0.114894
India,IND,1920,34868020,31.277300,3.590720,0,0,0,0,0.114097
China,CHN,1918,34747962,34.747962,0,0,0,0,0,0.075250
Germany,DEU,1859,33807728,33.807728,0,0,0,0,0,0.948776
India,IND,1916,33517548,30.044423,3.473125,0,0,0,0,0.110074
India,IND,1915,33141761,29.785537,3.356224,0,0,0,0,0.108947
Germany,DEU,1857,32939360,32.939360,0,0,0,0,0,0.941690
Japan,JPN,1906,32855088,31.609328,1.245760,0,0,0,0,0.695684
China,CHN,1917,32023449,32.023449,0,0,0,0,0,0.070114
India,IND,1914,31698181,28.671398,3.026783,0,0,0,0,0.104270
India,IND,1913,31466798,28.224158,3.242640,0,0,0,0,0.103611
Germany,DEU,1856,30924160,30.924160,0,0,0,0,0,0.890801
China,CHN,1916,30130689,30.130689,0,0,0,0,0,0.066697
Japan,JPN,1905,29931216,28.843008,1.088208,0,0,0,0,0.639160
Japan,JPN,1904,29051856,27.721824,1.330032,0,0,0,0,0.626415
Germany,DEU,1855,28615840,28.615840,0,0,0,0,0,0.827382
India,IND,1912,28521480,25.608600,2.912880,0,0,0,0,0.094006
China,CHN,1914,26718416,26.718416,0,0,0,0,0,0.060455
Japan,JPN,1903,25787232,24.841920,0.945312,0,0,0,0,0.562536
China,CHN,1915,25420578,25.420578,0,0,0,0,0,0.056891
China,CHN,1910,25009438,25.009438,0,0,0,0,0,0.059124
Japan,JPN,1902,24944512,23.764877,1.179635,0,0,0,0,0.551199
India,IND,1908,24908271,22.237215,2.671056,0,0,0,0,0.083389
India,IND,1911,24782474,22.144394,2.638080,0,0,0,0,0.081763
China,CHN,1911,24630507,24.630507,0,0,0,0,0,0.057593
Germany,DEU,1854,24365600,24.365600,0,0,0,0,0,0.705615
China,CHN,1909,24251576,24.251576,0,0,0,0,0,0.057654
China,CHN,1913,24251576,24.251576,0,0,0,0,0,0.055478
India,IND,1909,24142678,20.669206,3.473472,0,0,0,0,0.080342
India,IND,1910,23487344,20.977504,2.509840,0,0,0,0,0.077747
Japan,JPN,1901,23273728,22.189013,1.084715,0,0,0,0,0.521108
China,CHN,1908,22735853,22.735853,0,0,0,0,0,0.054353
India,IND,1907,21772426,19.412810,2.359616,0,0,0,0,0.073333
Germany,DEU,1853,20760224,20.760224,0,0,0,0,0,0.603109
China,CHN,1907,19893871,19.893871,0,0,0,0,0,0.047826
India,IND,1906,19549439,17.035935,2.513504,0,0,0,0,0.066247
Japan,JPN,1900,19411872,18.429920,0.981952,0,0,0,0,0.440149
Germany,DEU,1852,19173712,19.173712,0,0,0,0,0,0.559163
Japan,JPN,1899,17272096,16.575936,0.696160,0,0,0,0,0.395913
Japan,JPN,1898,17246448,16.484498,0.761950,0,0,0,0,0.399732
China,CHN,1912,17029154,17.029154,0,0,0,0,0,0.039385
India,IND,1905,16930739,14.659059,2.271680,0,0,0,0,0.057725
Germany,DEU,1851,16869056,16.869056,0,0,0,0,0,0.495347
India,IND,1904,16561026,14.307666,2.253360,0,0,0,0,0.056813
Germany,DEU,1850,15139648,15.139648,0,0,0,0,0,0.448635
India,IND,1903,14802139,12.951819,1.850320,0,0,0,0,0.051095
India,IND,1902,14515440,12.925630,1.589809,0,0,0,0,0.050401
Germany,DEU,1847,13838928,13.838928,0,0,0,0,0,0.416446
Germany,DEU,1849,13622752,13.622752,0,0,0,0,0,0.407233
Japan,JPN,1897,13542144,12.871632,0.670512,0,0,0,0,0.317570
Germany,DEU,1846,13186736,13.186736,0,0,0,0,0,0.398885
India,IND,1901,13179692,11.552876,1.626816,0,0,0,0,0.046051
Japan,JPN,1896,12915600,12.311040,0.604560,0,0,0,0,0.306086
Germany,DEU,1848,12827664,12.827664,0,0,0,0,0,0.385342
Germany,DEU,1845,12611488,12.611488,0,0,0,0,0,0.385166
Japan,JPN,1895,12226768,11.750448,0.476320,0,0,0,0,0.292681
India,IND,1900,11929576,10.654504,1.275072,0,0,0,0,0.041932
Japan,JPN,1894,11024976,10.438541,0.586435,0,0,0,0,0.266626
Germany,DEU,1842,10882080,10.882080,0,0,0,0,0,0.342344
Germany,DEU,1844,10882080,10.882080,0,0,0,0,0,0.335929
Germany,DEU,1843,10299504,10.299504,0,0,0,0,0,0.320997
India,IND,1899,10054490,8.871018,1.183472,0,0,0,0,0.035402
Germany,DEU,1841,9548384,9.548384,0,0,0,0,0,0.303364
Germany,DEU,1840,9174656,9.174656,0,0,0,0,0,0.294759
India,IND,1898,9125196,8.022737,1.102459,0,0,0,0,0.032186
Japan,JPN,1893,8573760,8.068128,0.505632,0,0,0,0,0.209111
India,IND,1897,8253382,7.080902,1.172480,0,0,0,0,0.029161
Japan,JPN,1891,8123088,7.727376,0.395712,0,0,0,0,0.201166
Japan,JPN,1892,8075456,7.734704,0.340752,0,0,0,0,0.198492
India,IND,1896,7608035,6.702628,0.905407,0,0,0,0,0.026927
India,IND,1895,7034711,6.162263,0.872448,0,0,0,0,0.024941
Germany,DEU,1839,7020224,7.020224,0,0,0,0,0,0.228330
Japan,JPN,1890,6756416,6.331622,0.424794,0,0,0,0,0.168586
Germany,DEU,1838,6631840,6.631840,0,0,0,0,0,0.218404
Japan,JPN,1889,6254448,5.884384,0.370064,0,0,0,0,0.157590
Germany,DEU,1837,5950336,5.950336,0,0,0,0,0,0.198259
India,IND,1894,5616710,4.909558,0.707152,0,0,0,0,0.019948
India,IND,1893,5543195,4.459312,1.083883,0,0,0,0,0.019721
India,IND,1892,5247296,4.416101,0.831195,0,0,0,0,0.018701
Germany,DEU,1836,5191888,5.191888,0,0,0,0,0,0.174799
Japan,JPN,1888,5169904,4.880448,0.289456,0,0,0,0,0.131714
Germany,DEU,1835,4931744,4.931744,0,0,0,0,0,0.167803
Germany,DEU,1830,4792512,4.792512,0,0,0,0,0,0.170887
India,IND,1891,4772425,4.054281,0.718144,0,0,0,0,0.017038
Germany,DEU,1831,4590992,4.590992,0,0,0,0,0,0.162323
Germany,DEU,1827,4539696,4.539696,0,0,0,0,0,0.166600
Germany,DEU,1828,4539696,4.539696,0,0,0,0,0,0.164840
Japan,JPN,1887,4473744,4.265067,0.208677,0,0,0,0,0.115107
India,IND,1890,4431674,3.775818,0.655856,0,0,0,0,0.015849
Germany,DEU,1834,4411456,4.411456,0,0,0,0,0,0.151748
Germany,DEU,1833,4378480,4.378480,0,0,0,0,0,0.152025
Germany,DEU,1825,4338176,4.338176,0,0,0,0,0,0.162783
Germany,DEU,1826,4187952,4.187952,0,0,0,0,0,0.155316
Germany,DEU,1823,4034064,4.034064,0,0,0,0,0,0.155342
India,IND,1889,4021832,3.387960,0.633872,0,0,0,0,0.014504
Germany,DEU,1822,3631024,3.631024,0,0,0,0,0,0.141726
Germany,DEU,1829,3631024,3.631024,0,0,0,0,0,0.130579
Japan,JPN,1886,3605376,3.355971,0.249405,0,0,0,0,0.093350
Germany,DEU,1821,3532096,3.532096,0,0,0,0,0,0.139830
Germany,DEU,1832,3447824,3.447824,0,0,0,0,0,0.120828
